country,year,hightech_exports_wits
Brazil,2000,
Brazil,2001,
Brazil,2002,
Brazil,2003,
Brazil,2004,
Brazil,2005,
Brazil,2006,
Brazil,2007,12.6278356939529
Brazil,2008,12.761526959305
Brazil,2009,14.7587820517537
Brazil,2010,12.590146869358
Brazil,2011,11.1409081379377
Brazil,2012,11.8872212915256
Brazil,2013,11.9698618012495
Brazil,2014,12.3711688680768
Brazil,2015,14.4858996246715
Brazil,2016,16.0001642772964
Brazil,2017,14.3118892236086
Brazil,2018,14.7442418256611
Brazil,2019,14.0668052120423
Brazil,2020,11.3500942678804
Brazil,2021,9.00155420026002
Brazil,2022,9.11134627987528
Brazil,2023,9.849149349554
Brazil,2024,
Brazil,2025,
China,2000,
China,2001,
China,2002,
China,2003,
China,2004,
China,2005,
China,2006,
China,2007,30.2374939097036
China,2008,29.4319344493349
China,2009,31.9775769727453
China,2010,32.1501169663397
China,2011,30.5004796644425
China,2012,30.8618085179503
China,2013,31.5855813292794
China,2014,29.7037271802947
China,2015,30.4312672747562
China,2016,30.2545232296357
China,2017,30.9118639785891
China,2018,31.5481478595353
China,2019,30.8186302968419
China,2020,31.2766154241293
China,2021,30.2190732796596
China,2022,27.7650612563156
China,2023,26.5682136542881
China,2024,
China,2025,
India,2000,
India,2001,
India,2002,
India,2003,
India,2004,
India,2005,
India,2006,
India,2007,
India,2008,
India,2009,9.56909614274288
India,2010,7.73016032755592
India,2011,7.87117262454535
India,2012,7.70439427946636
India,2013,8.87350364988968
India,2014,9.22122174793918
India,2015,8.02476917234515
India,2016,7.66325704378624
India,2017,7.36208114076572
India,2018,9.04145168835151
India,2019,10.2237396907979
India,2020,11.0325638466576
India,2021,10.2125596625118
India,2022,12.6822794807287
India,2023,14.9343472986716
India,2024,
India,2025,
Israel,2000,
Israel,2001,
Israel,2002,
Israel,2003,
Israel,2004,
Israel,2005,
Israel,2006,
Israel,2007,7.62716744231259
Israel,2008,17.0560538737395
Israel,2009,23.3965145235289
Israel,2010,19.3753611640664
Israel,2011,18.3985722541565
Israel,2012,19.8939600431067
Israel,2013,19.0362582405147
Israel,2014,19.4130528417277
Israel,2015,23.6539775366063
Israel,2016,21.8196172712291
Israel,2017,21.0679788533896
Israel,2018,22.5362840096475
Israel,2019,23.0916656017552
Israel,2020,28.197643074759
Israel,2021,29.5956758722761
Israel,2022,29.1090540410523
Israel,2023,32.9027163457357
Israel,2024,
Israel,2025,
South Korea,2000,
South Korea,2001,
South Korea,2002,
South Korea,2003,
South Korea,2004,
South Korea,2005,
South Korea,2006,
South Korea,2007,32.4282584168837
South Korea,2008,30.4501393108657
South Korea,2009,32.1484365401841
South Korea,2010,32.1343974843399
South Korea,2011,28.2133210437189
South Korea,2012,28.2220757644767
South Korea,2013,29.8181999078998
South Korea,2014,30.0608682657817
South Korea,2015,31.2119270912605
South Korea,2016,30.5250266717443
South Korea,2017,32.546316460744
South Korea,2018,36.3912233579129
South Korea,2019,32.4050621736765
South Korea,2020,35.6022265413283
South Korea,2021,36.014503674486
South Korea,2022,36.118278931217
South Korea,2023,29.9769295422504
South Korea,2024,
South Korea,2025,
Taiwan,2000,
Taiwan,2001,
Taiwan,2002,
Taiwan,2003,
Taiwan,2004,
Taiwan,2005,
Taiwan,2006,
Taiwan,2007,
Taiwan,2008,
Taiwan,2009,
Taiwan,2010,
Taiwan,2011,
Taiwan,2012,
Taiwan,2013,
Taiwan,2014,
Taiwan,2015,
Taiwan,2016,
Taiwan,2017,
Taiwan,2018,
Taiwan,2019,
Taiwan,2020,
Taiwan,2021,
Taiwan,2022,
Taiwan,2023,
Taiwan,2024,
Taiwan,2025,
